Month,Monthly beer production
Jan-56,93.2
Feb-56,96
Mar-56,95.2
Apr-56,77.1
May-56,70.9
Jun-56,64.8
Jul-56,70.1
Aug-56,77.3
Sep-56,79.5
Oct-56,100.6
Nov-56,100.7
Dec-56,107.1
Jan-57,95.9
Feb-57,82.8
Mar-57,83.3
Apr-57,80
May-57,80.4
Jun-57,67.5
Jul-57,75.7
Aug-57,71.1
Sep-57,89.3
Oct-57,101.1
Nov-57,105.2
Dec-57,114.1
Jan-58,96.3
Feb-58,84.4
Mar-58,91.2
Apr-58,81.9
May-58,80.5
Jun-58,70.4
Jul-58,74.8
Aug-58,75.9
Sep-58,86.3
Oct-58,98.7
Nov-58,100.9
Dec-58,113.8
Jan-59,89.8
Feb-59,84.4
Mar-59,87.2
Apr-59,85.6
May-59,72
Jun-59,69.2
Jul-59,77.5
Aug-59,78.1
Sep-59,94.3
Oct-59,97.7
Nov-59,100.2
Dec-59,116.4
Jan-60,97.1
Feb-60,93
Mar-60,96
Apr-60,80.5
May-60,76.1
Jun-60,69.9
Jul-60,73.6
Aug-60,92.6
Sep-60,94.2
Oct-60,93.5
Nov-60,108.5
Dec-60,109.4
Jan-61,105.1
Feb-61,92.5
Mar-61,97.1
Apr-61,81.4
May-61,79.1
Jun-61,72.1
Jul-61,78.7
Aug-61,87.1
Sep-61,91.4
Oct-61,109.9
Nov-61,116.3
Dec-61,113
Jan-62,100
Feb-62,84.8
Mar-62,94.3
Apr-62,87.1
May-62,90.3
Jun-62,72.4
Jul-62,84.9
Aug-62,92.7
Sep-62,92.2
Oct-62,114.9
Nov-62,112.5
Dec-62,118.3
Jan-63,106
Feb-63,91.2
Mar-63,96.6
Apr-63,96.3
May-63,88.2
Jun-63,70.2
Jul-63,86.5
Aug-63,88.2
Sep-63,102.8
Oct-63,119.1
Nov-63,119.2
Dec-63,125.1
Jan-64,106.1
Feb-64,102.1
Mar-64,105.2
Apr-64,101
May-64,84.3
Jun-64,87.5
Jul-64,92.7
Aug-64,94.4
Sep-64,113
Oct-64,113.9
Nov-64,122.9
Dec-64,132.7
Jan-65,106.9
Feb-65,96.6
Mar-65,127.3
Apr-65,98.2
May-65,100.2
Jun-65,89.4
Jul-65,95.3
Aug-65,104.2
Sep-65,106.4
Oct-65,116.2
Nov-65,135.9
Dec-65,134
Jan-66,104.6
Feb-66,107.1
Mar-66,123.5
Apr-66,98.8
May-66,98.6
Jun-66,90.6
Jul-66,89.1
Aug-66,105.2
Sep-66,114
Oct-66,122.1
Nov-66,138
Dec-66,142.2
Jan-67,116.4
Feb-67,112.6
Mar-67,123.8
Apr-67,103.6
May-67,113.9
Jun-67,98.6
Jul-67,95
Aug-67,116
Sep-67,113.9
Oct-67,127.5
Nov-67,131.4
Dec-67,145.9
Jan-68,131.5
Feb-68,131
Mar-68,130.5
Apr-68,118.9
May-68,114.3
Jun-68,85.7
Jul-68,104.6
Aug-68,105.1
Sep-68,117.3
Oct-68,142.5
Nov-68,140
Dec-68,159.8
Jan-69,131.2
Feb-69,125.4
Mar-69,126.5
Apr-69,119.4
May-69,113.5
Jun-69,98.7
Jul-69,114.5
Aug-69,113.8
Sep-69,133.1
Oct-69,143.4
Nov-69,137.3
Dec-69,165.2
Jan-70,126.9
Feb-70,124
Mar-70,135.7
Apr-70,130
May-70,109.4
Jun-70,117.8
Jul-70,120.3
Aug-70,121
Sep-70,132.3
Oct-70,142.9
Nov-70,147.4
Dec-70,175.9
Jan-71,132.6
Feb-71,123.7
Mar-71,153.3
Apr-71,134
May-71,119.6
Jun-71,116.2
Jul-71,118.6
Aug-71,130.7
Sep-71,129.3
Oct-71,144.4
Nov-71,163.2
Dec-71,179.4
Jan-72,128.1
Feb-72,138.4
Mar-72,152.7
Apr-72,120
May-72,140.5
Jun-72,116.2
Jul-72,121.4
Aug-72,127.8
Sep-72,143.6
Oct-72,157.6
Nov-72,166.2
Dec-72,182.3
Jan-73,153.1
Feb-73,147.6
Mar-73,157.7
Apr-73,137.2
May-73,151.5
Jun-73,98.7
Jul-73,145.8
Aug-73,151.7
Sep-73,129.4
Oct-73,174.1
Nov-73,197
Dec-73,193.9
Jan-74,164.1
Feb-74,142.8
Mar-74,157.9
Apr-74,159.2
May-74,162.2
Jun-74,123.1
Jul-74,130
Aug-74,150.1
Sep-74,169.4
Oct-74,179.7
Nov-74,182.1
Dec-74,194.3
Jan-75,161.4
Feb-75,169.4
Mar-75,168.8
Apr-75,158.1
May-75,158.5
Jun-75,135.3
Jul-75,149.3
Aug-75,143.4
Sep-75,142.2
Oct-75,188.4
Nov-75,166.2
Dec-75,199.2
Jan-76,182.7
Feb-76,145.2
Mar-76,182.1
Apr-76,158.7
May-76,141.6
Jun-76,132.6
Jul-76,139.6
Aug-76,147
Sep-76,166.6
Oct-76,157
Nov-76,180.4
Dec-76,210.2
Jan-77,159.8
Feb-77,157.8
Mar-77,168.2
Apr-77,158.4
May-77,152
Jun-77,142.2
Jul-77,137.2
Aug-77,152.6
Sep-77,166.8
Oct-77,165.6
Nov-77,198.6
Dec-77,201.5
Jan-78,170.7
Feb-78,164.4
Mar-78,179.7
Apr-78,157
May-78,168
Jun-78,139.3
Jul-78,138.6
Aug-78,153.4
Sep-78,138.9
Oct-78,172.1
Nov-78,198.4
Dec-78,217.8
Jan-79,173.7
Feb-79,153.8
Mar-79,175.6
Apr-79,147.1
May-79,160.3
Jun-79,135.2
Jul-79,148.8
Aug-79,151
Sep-79,148.2
Oct-79,182.2
Nov-79,189.2
Dec-79,183.1
Jan-80,170
Feb-80,158.4
Mar-80,176.1
Apr-80,156.2
May-80,153.2
Jun-80,117.9
Jul-80,149.8
Aug-80,156.6
Sep-80,166.7
Oct-80,156.8
Nov-80,158.6
Dec-80,210.8
Jan-81,203.6
Feb-81,175.2
Mar-81,168.7
Apr-81,155.9
May-81,147.3
Jun-81,137
Jul-81,141.1
Aug-81,167.4
Sep-81,160.2
Oct-81,191.9
Nov-81,174.4
Dec-81,208.2
Jan-82,159.4
Feb-82,161.1
Mar-82,172.1
Apr-82,158.4
May-82,114.6
Jun-82,159.6
Jul-82,159.7
Aug-82,159.4
Sep-82,160.7
Oct-82,165.5
Nov-82,205
Dec-82,205.2
Jan-83,141.6
Feb-83,148.1
Mar-83,184.9
Apr-83,132.5
May-83,137.3
Jun-83,135.5
Jul-83,121.7
Aug-83,166.1
Sep-83,146.8
Oct-83,162.8
Nov-83,186.8
Dec-83,185.5
Jan-84,151.5
Feb-84,158.1
Mar-84,143
Apr-84,151.2
May-84,147.6
Jun-84,130.7
Jul-84,137.5
Aug-84,146.1
Sep-84,133.6
Oct-84,167.9
Nov-84,181.9
Dec-84,202
Jan-85,166.5
Feb-85,151.3
Mar-85,146.2
Apr-85,148.3
May-85,144.7
Jun-85,123.6
Jul-85,151.6
Aug-85,133.9
Sep-85,137.4
Oct-85,181.6
Nov-85,182
Dec-85,190
Jan-86,161.2
Feb-86,155.5
Mar-86,141.9
Apr-86,164.6
May-86,136.2
Jun-86,126.8
Jul-86,152.5
Aug-86,126.6
Sep-86,150.1
Oct-86,186.3
Nov-86,147.5
Dec-86,200.4
Jan-87,177.2
Feb-87,127.4
Mar-87,177.1
Apr-87,154.4
May-87,135.2
Jun-87,126.4
Jul-87,147.3
Aug-87,140.6
Sep-87,152.3
Oct-87,151.2
Nov-87,172.2
Dec-87,215.3
Jan-88,154.1
Feb-88,159.3
Mar-88,160.4
Apr-88,151.9
May-88,148.4
Jun-88,139.6
Jul-88,148.2
Aug-88,153.5
Sep-88,145.1
Oct-88,183.7
Nov-88,210.5
Dec-88,203.3
Jan-89,153.3
Feb-89,144.3
Mar-89,169.6
Apr-89,143.7
May-89,160.1
Jun-89,135.6
Jul-89,141.8
Aug-89,159.9
Sep-89,145.7
Oct-89,183.5
Nov-89,198.2
Dec-89,186.8
Jan-90,172
Feb-90,150.6
Mar-90,163.3
Apr-90,153.7
May-90,152.9
Jun-90,135.5
Jul-90,148.5
Aug-90,148.4
Sep-90,133.6
Oct-90,194.1
Nov-90,208.6
Dec-90,197.3
Jan-91,164.4
Feb-91,148.1
Mar-91,152
Apr-91,144.1
May-91,155
Jun-91,124.5
Jul-91,153
Aug-91,146
Sep-91,138
Oct-91,190
Nov-91,192
Dec-91,192
Jan-92,147
Feb-92,133
Mar-92,163
Apr-92,150
May-92,129
Jun-92,131
Jul-92,145
Aug-92,137
Sep-92,138
Oct-92,168
Nov-92,176
Dec-92,188
Jan-93,139
Feb-93,143
Mar-93,150
Apr-93,154
May-93,137
Jun-93,129
Jul-93,128
Aug-93,140
Sep-93,143
Oct-93,151
Nov-93,177
Dec-93,184
Jan-94,151
Feb-94,134
Mar-94,164
Apr-94,126
May-94,131
Jun-94,125
Jul-94,127
Aug-94,143
Sep-94,143
Oct-94,160
Nov-94,190
Dec-94,182
Jan-95,138
Feb-95,136
Mar-95,152
Apr-95,127
May-95,151
Jun-95,130
Jul-95,119
Aug-95,153
